start_datetime,end_datetime,cme_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_angle,cme_width,cme_speed,is_halo,is_lower_bound
2001-01-20 21:30:00,2001-01-20 00:00:00,2001-01-20 21:30:00,14000,500,S07E46,9313,M7.7,NA,360,1507,True,False
2001-01-26 12:06:00,2001-01-26 14:20:00,2001-01-26 12:06:00,14000,400,S23W57,9320,C1.6,276,176,928,False,False
2001-01-28 15:45:00,2001-01-28 17:00:00,2001-01-28 15:54:00,14000,200,S04W59,9313,M1.5,NA,360,916,True,False
2001-02-11 01:40:00,2001-02-11 01:55:00,2001-02-11 01:31:00,12000,5500,N24W57,9346,C6.5,NA,360,1183,True,False
2001-03-10 04:18:00,2001-03-10 04:32:00,2001-03-10 04:26:00,14000,4000,N27W42,9368,M6.7,297,81,819,False,False
2001-03-12 05:35:00,2001-03-12 05:45:00,2001-03-12 05:50:00,3000,1500,BACK,NA,NA,233,48,829,False,False
2001-03-27 02:35:00,2001-03-27 03:15:00,2001-03-27 02:06:00,6000,1000,N14E17,9393,C7.3,154,60,300,False,False
2001-03-27 15:00:00,2001-03-27 15:20:00,2001-03-27 17:06:00,4000,1500,N15E14,9393,C5.6,46,66,340,False,False
2001-03-29 10:12:00,2001-03-30 06:00:00,2001-03-29 10:26:00,4000,60,N20W19,9393,X1.7,NA,360,942,True,False
2001-04-02 11:30:00,2001-04-02 12:00:00,2001-04-02 11:26:00,14000,5000,N20W70,9393,X1.1,270,80,992,False,False
2001-04-02 22:05:00,2001-04-03 02:30:00,2001-04-02 22:06:00,14000,250,N19W72,9393,X20.,261,244,2505,False,False
2001-04-03 03:40:00,2001-04-03 07:25:00,2001-04-03 03:26:00,14000,400,S21E83,9415,X1.2,108,292,1613,False,False
2001-04-04 09:50:00,2001-04-04 10:10:00,2001-04-04 09:50:00,13000,3000,S21E68,9415,M1.6,86,89,1065,False,False
2001-04-05 09:14:00,2001-04-05 09:34:00,2001-04-05 09:06:00,14000,7500,N14W85,9393,M8.4,283,205,1750,False,False
2001-04-06 19:35:00,2001-04-07 01:50:00,2001-04-06 19:30:00,14000,230,S21E31,9415,X5.6,NA,360,1270,True,False
2001-04-09 15:53:00,2001-04-10 01:00:00,2001-04-09 15:54:00,12000,100,S21W04,9415,M7.9,NA,360,1192,True,False
2001-04-10 05:24:00,2001-04-10 00:00:00,2001-04-10 05:30:00,14000,100,S23W09,9415,X2.3,NA,360,2411,True,False
2001-04-11 13:15:00,2001-04-11 14:15:00,2001-04-11 13:31:00,14000,1500,S22W27,9415,M2.3,NA,360,1103,True,False
2001-04-12 10:20:00,2001-04-12 10:40:00,2001-04-12 10:31:00,14000,7000,S19W43,9415,X2.0,NA,360,1184,True,False
2001-04-15 14:05:00,2001-04-16 13:00:00,2001-04-15 14:06:00,14000,40,S20W85,9415,X14.,245,167,1199,False,False
2001-04-18 02:55:00,2001-04-18 14:00:00,2001-04-18 02:30:00,1000,100,SW90b,NA,C2.2,NA,360,2465,True,False
2001-04-26 12:40:00,2001-04-28 05:00:00,2001-04-26 12:30:00,5000,20,N20W05,9433,M1.5,NA,360,1006,True,False
2001-05-07 12:00:00,2001-05-07 13:50:00,2001-05-07 12:06:00,2000,280,NW90b,NA,NA,286,205,1223,False,False
2001-05-12 23:52:00,2001-05-13 00:12:00,2001-05-13 02:21:00,3000,1000,S17E00,9455,M3.0,190,132,527,False,False
2001-05-30 00:25:00,2001-05-30 01:38:00,2001-05-30 00:06:00,14000,1000,E90b,9481,NA,70,216,2087,False,False
2001-06-15 10:50:00,2001-06-15 11:15:00,2001-06-15 10:31:00,7000,3000,S26E41,9502,M6.3,185,119,1090,False,False
2001-06-15 16:05:00,2001-06-15 16:20:00,2001-06-15 15:56:00,14000,3500,W90b,NA,NA,NA,360,1701,True,False
2001-08-16 00:10:00,2001-08-16 16:10:00,2001-08-15 23:54:00,5400,150,Back,NA,NA,NA,360,1575,True,False
2001-08-25 16:50:00,2001-08-25 23:00:00,2001-08-25 16:50:00,8000,170,S17E34,9591,X5.3,NA,360,1433,True,False
2001-08-30 20:43:00,2001-08-30 20:47:00,2001-08-30 21:26:00,12000,10000,N15E44,9601,M3.0,82,76,351,False,False
2001-09-03 18:48:00,2001-09-03 19:00:00,2001-09-03 18:35:00,12000,7500,S23E90,9607,M2.5,127,207,1352,False,False
2001-09-15 11:50:00,2001-09-15 12:05:00,2001-09-15 11:54:00,14000,6000,S21W49,9608,M1.5,263,130,478,False,False
2001-09-16 13:50:00,2001-09-16 14:10:00,2001-09-16 14:30:00,3000,2000,S13E15,9616,C8.9,131,68,584,False,False
2001-09-17 08:35:00,2001-09-17 08:47:00,2001-09-17 08:54:00,14000,5400,S14E04,9616,M1.5,198,166,1009,False,False
2001-09-20 18:43:00,2001-09-20 18:57:00,2001-09-20 19:31:00,14000,10000,N09W11,9631,M1.5,306,207,446,False,False
2001-09-24 10:45:00,2001-09-25 20:00:00,2001-09-24 10:30:00,7000,30,S16E23,9632,X2.6,NA,360,2402,True,False
